TenureGroup,CityTier,用户数,流失人数,平均订单数,流失率,样本提示
新用户,2,15,14,1.5333333333333334,0.9333333333333333,小样本
新用户,3,181,104,2.0552486187845305,0.574585635359116,可观察
新用户,1,312,154,1.810897435897436,0.4935897435897436,可观察
0-6个月,2,55,22,2.1272727272727274,0.4,可观察
0-6个月,3,562,162,2.823843416370107,0.28825622775800713,可观察
0-6个月,1,1025,241,2.6370731707317074,0.23512195121951218,可观察
7-12个月,2,82,12,2.0,0.14634146341463414,可观察
7-12个月,3,462,60,2.9155844155844157,0.12987012987012986,可观察
13-24个月,3,408,42,3.8848039215686274,0.10294117647058823,可观察
7-12个月,1,1040,84,2.731730769230769,0.08076923076923077,可观察
13-24个月,1,989,53,3.6491405460060666,0.05358948432760364,可观察
24个月以上,1,300,0,3.1266666666666665,0.0,可观察
13-24个月,2,70,0,3.442857142857143,0.0,可观察
24个月以上,2,20,0,3.9,0.0,小样本
24个月以上,3,109,0,4.63302752293578,0.0,可观察
